Time,Total,Generator
1211,32.4169614607,5
1212,32.4151348695,5
1213,32.4130993848,5
1214,32.4128666249,5
1215,32.4117719526,5
1216,32.4066486487,5
1217,32.399613107,5
1218,32.3815999076,5
1219,32.3684576459,5
1220,32.3549141618,5
1221,32.3542738751,5
1222,32.350181063,5
1223,32.3482844065,5
1224,32.3464358839,5
1225,32.3463323057,5
1226,32.3415996953,5
1227,32.3363841211,5
1228,32.3360152234,5
1229,32.3242599431,5
1230,32.3189581885,5
1231,32.3092752349,5
1232,32.2938391904,5
1233,32.2918839465,5
1234,32.279784157,5
1235,32.2779305353,5
1236,32.2555548239,5
1237,32.2461751299,5
1238,32.2329046222,5
1239,32.2302416606,5
1240,32.2256974292,5
1241,32.2245267953,5
1242,32.2244442419,5
1243,32.2144654827,5
1244,32.2014476942,5
1245,32.1948614278,5
1246,32.160681237,5
1247,32.1536036087,5
1248,32.1510702631,5
1249,32.144498963,5
1250,32.1306408258,5
1251,32.1276932194,5
1252,32.1206437529,5
1253,32.1167912931,5
1254,32.1125889425,5
1255,32.1051242446,5
1256,32.0980842923,5
1257,32.085395291,5
